LONG,LAT,ADMIN,FACTORIES,LAST_UPDATED
66.59216131,34.13402601,Afghanistan,,8/22/2022
17.47800805,-11.89758948,Angola,,
-61.79187003,17.32188359,Antigua and Barbuda,,
-61.37462,-35.19733,Argentina,1,
137.1165643,-30.13416028,Australia,,
13.79777836,47.63185827,Austria,,
-75.94757049,23.97198084,Bahamas,,
50.62094027,25.96443467,Bahrain,,
89.907157,22.802551,Bangladesh,1,
-59.55738395,13.18321937,Barbados,,
4.675010155,50.61821389,Belgium,,
-88.5802148,17.29459369,Belize,,
2.305714529,9.5030132,Benin,,
90.46716647,27.42163934,Bhutan,,
-64.45209598,-16.73124884,Bolivia,,
23.85779957,-22.236609,Botswana,,
-50.712412,-15.820106,Brazil,3,
114.793624,4.52456453,Brunei,,
25.25173912,42.82043677,Bulgaria,,
-1.693281621,12.10870904,Burkina Faso,,
29.88518228,-3.261251993,Burundi,,
-23.96744314,16.0683021,Cabo Verde,,
105.0397308,12.69918687,Cambodia,,
12.94847414,6.294168487,Cameroon,,
-106.40932,56.59004,Canada,,
20.52074342,6.331390034,Central African Republic,,
18.4271139,15.28349355,Chad,,
-70.177042,-27.497846,Chile,1,
107.397574,32.7465,China,34,
121.00788,23.76083,Chinese Taipei,,
-73.84582518,5.29423461,Colombia,,
-0.36836,15.60641,Congo,,
-84.14673626,9.863467407,Costa Rica,,
-5.571710195,7.536779279,Côte d’Ivoire,,
16.78281841,44.64931472,Croatia,,
-77.632778,21.37045,Cuba,1,
33.37534601,35.11700416,Cyprus,,
15.38327329,49.74917371,Czech Republic,,
23.41982757,-3.338629596,Democratic Republic of the Congo,,
11.00211248,55.91555313,Denmark,,
42.6134969,11.75023573,Djibouti,,
-61.36047195,15.42926986,Dominica,,
-70.40475974,18.755426,Dominican Republic,,
-82.33897596,-1.298065434,Ecuador,,
28.165724,25.593701,Egypt,3,
-88.85911489,13.75804152,El Salvador,,
25.23640542,58.57756954,Estonia,,
31.51068575,-26.56254094,eSwatini,,
39.91490289,8.729389557,Ethiopia,,
50.83871,4.37982,European Union,,
177.96118,-17.79814,Fiji,,
26.34168,62.84425,Finland,,
2.936178132,46.2041093,France,,
11.8394109,-0.62844846,Gabon,,
-14.991931,13.676609,Gambia,,
43.37886653,42.17986278,Georgia,,
10.46159125,51.14928159,Germany,,
-1.219233363,7.945304672,Ghana,,
24.25559639,38.41864937,Greece,,
-61.67937937,12.11292666,Grenada,,
-90.31219349,15.82087852,Guatemala,,
-10.98694885,10.25598654,Guinea,,
-15.1530597,11.89051006,Guinea-Bissau,,
-58.91352613,4.682119814,Guyana,,
-72.88622714,18.91176863,Haiti,,
-86.48189285,14.81443361,Honduras,,
19.39620048,47.22527332,Hungary,,
-19.05682967,65.1236092,Iceland,,
78.064206,20.027469,India,55,
121.689738,-3.333361,Indonesia,1,
-8.258826762,53.30614676,Ireland,,
35.02792347,31.51354222,Israel,,
12.24669593,41.99599185,Italy,,
-77.30358895,18.12207889,Jamaica,,
135.4464961,35.83580347,Japan,,
36.95728885,31.38706488,Jordan,,
66.37591935,47.6414652,Kazakhstan,,
37.95309411,0.689918232,Kenya,,
47.63141384,29.30657194,Kuwait,,
74.17532903,41.35698905,Kyrgyzstan,,
103.763759,18.11728274,Laos,,
24.69367133,56.81385305,Latvia,,
28.24475318,-29.60168117,Lesotho,,
-9.258988935,6.520129794,Liberia,,
9.547674672,47.14627562,Liechtenstein,,
23.88937098,55.28904028,Lithuania,,
6.103230338,49.77523455,Luxembourg,,
113.51292,22.12467,Macao (China),,
46.68493467,-19.04163612,Madagascar,,
34.23441182,-13.12898646,Malawi,,
102.45047,4.324869,Malaysia,2,
73.23878261,3.239115384,Maldives,,
-4.346399842,17.16814621,Mali,,
14.44192244,35.89052265,Malta,,
-10.49507905,20.46673121,Mauritania,,
57.58959,-20.24729,Mauritius,,
-103.1204394,23.64394843,Mexico,,
28.39111187,47.07256746,Moldova,,
103.398736,47.08644455,Mongolia,,
19.29505087,42.73694835,Montenegro,,
-8.038684,31.376235,Morocco,1,
35.20857703,-17.52523031,Mozambique,,
97.08691545,19.77737658,Myanmar,,
18.16451346,-21.90858163,Namibia,,
84.13388983,28.3009207,Nepal,,
5.474576853,52.13751519,Netherlands,,
171.10487,-43.54678,New Zealand,,
-85.01608833,12.89356663,Nicaragua,,
8.86863247,17.08105392,Niger,,
8.147632719,9.609707376,Nigeria,,
41.64522,21.73579,North Macedonia,,
8.70788,61.02523,Norway,,
55.89703044,21.08081468,Oman,,
69.08835091,30.11618837,Pakistan,,
-80.17590176,8.422311846,Panama,,
148.1803959,-6.430015997,Papua New Guinea,,
-58.38906357,-23.42190559,Paraguay,,
-74.11416197,-8.522717984,Peru,,
121.8696493,10.8032505,Philippines,,
19.43573279,52.06848056,Poland,,
-7.98376,40.21611,Portugal,,
51.19794919,25.31852849,Qatar,,
25.0941582,45.82454894,Romania,,
98.96988772,61.45264294,Russia,,
29.91943968,-2.01468746,Rwanda,,
-62.74560386,17.3147363,Saint Kitts and Nevis,,
-60.96895109,13.89574919,Saint Lucia,,
-61.19376635,13.25480812,Saint Vincent and the Grenadines,,
-172.1458821,-13.76075125,Samoa,,
44.54714297,24.07547608,Saudi Arabia,,
-15.23425,15.168632,Senegal,1,
51.28904175,-6.847341132,Seychelles,,
-11.80878157,8.543593293,Sierra Leone,,
103.8102576,1.352825189,Singapore,,
19.58101536,48.69808391,Slovakia,,
14.8906369,46.1375923,Slovenia,,
160.9666346,-9.760237066,Solomon Islands,,
24.015915,-31.621171,South Africa,1,
128.553619,36.684745,South Korea,9,
-2.942967336,40.03038548,Spain,,
80.65376391,7.719586214,Sri Lanka,,
-55.85551431,4.098723596,Suriname,,
17.27728983,62.46541151,Sweden,,
8.286928795,46.73678129,Switzerland,,
70.94215281,38.56933138,Tajikistan,,
34.93574265,-6.353604204,Tanzania,,
102.133945,16.237474,Thailand,1,
0.899085757,8.660743038,Togo,,
-174.6821765,-20.05925094,Tonga,,
-61.21970216,10.58005576,Trinidad and Tobago,,
9.819988,32.931972,Tunisia,2,
35.09557206,39.09097225,Turkey,,
32.34371768,1.282172922,Uganda,,
31.27377208,48.65753252,Ukraine,,
54.27920526,24.18250292,United Arab Emirates,,
-3.156995563,54.90083228,United Kingdom,,
-100.84085,40.92577,United States of America,,
-56.01919523,-32.78195044,Uruguay,,
168.034015,-16.47965833,Vanuatu,,
-66.36112353,7.162820598,Venezuela,,
105.321837,20.964586,Vietnam,3,
48.47121493,15.25059827,Yemen,,
27.75521363,-13.16283295,Zambia,,
29.71782964,-18.92700122,Zimbabwe,,
